Null_Count,Null_Percentage
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
77615,2.5871666666666666
77644,2.5881333333333334
78806,2.6268666666666665
78806,2.6268666666666665
79944,2.6648
79944,2.6648
0,0.0
79942,2.6647333333333334
86198,2.873266666666667
0,0.0
2920860,97.36200000000001
0,0.0
14,0.0004666666666666666
86198,2.873266666666667
86198,2.873266666666667
0,0.0
2466137,82.20456666666666
2466137,82.20456666666666
2466137,82.20456666666666
2466137,82.20456666666666
2466137,82.20456666666666
